path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"/mnt/data/kos_corpus_0038/dreamcast/2ndmix/2ndmix.elf",1,1219,1219,0,0,89372,89372,0,4783,451,1,190,0,75,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,0,0,87571,87571,0,4690,449,1,6,0,2,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/breaking/breaking.elf",1,1214,1214,0,0,88405,88405,0,4733,451,1,125,0,83,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,0,0,87688,87688,0,4701,449,1,134,0,51,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/exec/exec.elf",1,1208,1208,0,0,87568,87568,0,4692,449,1,169,0,76,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/exec/sub.elf",1,1207,1207,0,0,87524,87524,0,4684,449,1,1,0,1,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,0,0,87848,87848,0,4703,451,1,157,0,85,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,0,0,87771,87771,0,4707,453,1,103,0,73,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,0,0,87688,87688,0,4703,449,1,92,0,51,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,0,0,87769,87769,0,4707,449,1,109,0,51,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,0,0,87605,87605,0,4693,449,1,121,0,72,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,0,0,87529,87529,0,4686,449,1,77,0,45,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,0,0,88470,88470,0,4754,449,1,154,0,95,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,0,0,88318,88318,0,4750,456,1,163,0,92,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,0,0,87810,87810,0,4713,451,1,142,0,90,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,0,0,87985,87985,0,4760,450,1,122,0,86,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/once/once_test.elf",1,1215,1215,0,0,88054,88054,0,4736,453,1,163,0,90,"",""
"/mnt/data/kos_corpus_0038/dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,0,0,87865,87865,0,4742,450,1,115,0,73,"",""
