DreamcastRecomp Corpus Scanner 0.0.45
===================================
ELF encontrados: 155

[1/155] 2ndmix.elf  funcs=1219 unknown=0 main_raw=0
[2/155] asserthnd.elf  funcs=1211 unknown=0 main_raw=0
[3/155] breaking.elf  funcs=1214 unknown=0 main_raw=0
[4/155] speedtest.elf  funcs=1209 unknown=0 main_raw=0
[5/155] exec.elf  funcs=1208 unknown=0 main_raw=0
[6/155] sub.elf  funcs=1207 unknown=0 main_raw=0
[7/155] fpu_exc.elf  funcs=1213 unknown=0 main_raw=0
[8/155] memtest32.elf  funcs=1210 unknown=0 main_raw=0
[9/155] nullptr.elf  funcs=1208 unknown=0 main_raw=0
[10/155] pvrmap.elf  funcs=1207 unknown=0 main_raw=0
[11/155] stackprotector.elf  funcs=1210 unknown=0 main_raw=0
[12/155] stacktrace.elf  funcs=1208 unknown=0 main_raw=0
[13/155] atomics.elf  funcs=1218 unknown=0 main_raw=0
[14/155] barrier.elf  funcs=1216 unknown=0 main_raw=0
[15/155] compiler_tls.elf  funcs=1208 unknown=0 main_raw=0
[16/155] general_threading_test.elf  funcs=1211 unknown=0 main_raw=0
[17/155] once_test.elf  funcs=1215 unknown=0 main_raw=0
[18/155] rlock_test.elf  funcs=1210 unknown=0 main_raw=0
[19/155] reentrant_mutex.elf  funcs=1214 unknown=0 main_raw=0
[20/155] rwsem_test.elf  funcs=1223 unknown=0 main_raw=0
[21/155] spinlock_test.elf  funcs=1210 unknown=0 main_raw=0
[22/155] tls_test.elf  funcs=1220 unknown=0 main_raw=0
[23/155] watchdog.elf  funcs=1213 unknown=0 main_raw=0
[24/155] cd-stream-test.elf  funcs=1210 unknown=0 main_raw=0
[25/155] adventure.elf  funcs=1286 unknown=0 main_raw=0
[26/155] basic.elf  funcs=1228 unknown=0 main_raw=0
[27/155] kosh.elf  funcs=1265 unknown=0 main_raw=0
[28/155] wump.elf  funcs=1240 unknown=0 main_raw=0
[29/155] clock.elf  funcs=1449 unknown=0 main_raw=0
[30/155] concurrency.elf  funcs=2627 unknown=0 main_raw=0
[31/155] fnt_test.elf  funcs=1442 unknown=0 main_raw=0
[32/155] gltest.elf  funcs=1522 unknown=0 main_raw=0
[33/155] example.elf  funcs=1574 unknown=0 main_raw=0
[34/155] out_of_memory.elf  funcs=1674 unknown=0 main_raw=0
[35/155] devroot.elf  funcs=1216 unknown=0 main_raw=0
[36/155] random.elf  funcs=1207 unknown=0 main_raw=0
[37/155] dreameye.elf  funcs=1213 unknown=0 main_raw=0
[38/155] dreameye-sd.elf  funcs=1288 unknown=0 main_raw=0
[39/155] browse.elf  funcs=1299 unknown=0 main_raw=0
[40/155] pty.elf  funcs=1210 unknown=0 main_raw=0
[41/155] sd-ext2fs.elf  funcs=1284 unknown=0 main_raw=0
[42/155] mke2fs.elf  funcs=1214 unknown=0 main_raw=0
[43/155] sd-speedtest.elf  funcs=1211 unknown=0 main_raw=0
[44/155] atatest.elf  funcs=1210 unknown=0 main_raw=0
[45/155] 2D_tex_quad.elf  funcs=1399 unknown=0 main_raw=0
[46/155] gltest.elf  funcs=1327 unknown=0 main_raw=0
[47/155] vq-example.elf  funcs=1318 unknown=0 main_raw=0
[48/155] quadmark.elf  funcs=1274 unknown=0 main_raw=0
[49/155] trimark.elf  funcs=1274 unknown=0 main_raw=0
[50/155] tristripmark.elf  funcs=1274 unknown=0 main_raw=0
[51/155] nehe02.elf  funcs=1279 unknown=0 main_raw=0
[52/155] nehe05.elf  funcs=1290 unknown=0 main_raw=0
[53/155] nehe06.elf  funcs=1322 unknown=0 main_raw=0
[54/155] nehe08.elf  funcs=1328 unknown=0 main_raw=0
[55/155] nehe09.elf  funcs=1323 unknown=0 main_raw=0
[56/155] nehe16.elf  funcs=1331 unknown=0 main_raw=0
[57/155] nehe26.elf  funcs=1296 unknown=0 main_raw=0
[58/155] hello.elf  funcs=1207 unknown=0 main_raw=0
[59/155] keyrawtest.elf  funcs=1208 unknown=0 main_raw=0
[60/155] keytest.elf  funcs=1209 unknown=0 main_raw=0
[61/155] gl-elements.elf  funcs=1295 unknown=0 main_raw=0
[62/155] gltest.elf  funcs=1310 unknown=0 main_raw=0
[63/155] scissor.elf  funcs=1315 unknown=0 main_raw=0
[64/155] gltest.elf  funcs=1309 unknown=0 main_raw=0
[65/155] vq-example.elf  funcs=1293 unknown=0 main_raw=0
[66/155] gl-arrays.elf  funcs=1293 unknown=0 main_raw=0
[67/155] quadmark.elf  funcs=1276 unknown=0 main_raw=0
[68/155] trimark.elf  funcs=1276 unknown=0 main_raw=0
[69/155] tristripmark.elf  funcs=1276 unknown=0 main_raw=0
[70/155] radial_blur.elf  funcs=1319 unknown=0 main_raw=0
[71/155] gl-mipmap.elf  funcs=1297 unknown=0 main_raw=0
[72/155] gl-multitex-arrays.elf  funcs=1299 unknown=0 main_raw=0
[73/155] gl-multitex-elements.elf  funcs=1299 unknown=0 main_raw=0
[74/155] specular.elf  funcs=1343 unknown=0 main_raw=0
[75/155] nehe02.elf  funcs=1274 unknown=0 main_raw=0
[76/155] nehe05.elf  funcs=1284 unknown=0 main_raw=0
[77/155] nehe06.elf  funcs=1304 unknown=0 main_raw=0
[78/155] nehe08.elf  funcs=1312 unknown=0 main_raw=0
[79/155] nehe09.elf  funcs=1305 unknown=0 main_raw=0
[80/155] nehe16.elf  funcs=1315 unknown=0 main_raw=0
[81/155] nehe26.elf  funcs=1290 unknown=0 main_raw=0
[82/155] 320x240.elf  funcs=1207 unknown=0 main_raw=0
[83/155] 640x480.elf  funcs=1208 unknown=0 main_raw=0
[84/155] cdfs.elf  funcs=1208 unknown=0 main_raw=0
[85/155] keyboard.elf  funcs=1211 unknown=0 main_raw=0
