path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"dreamcast/2ndmix/2ndmix.elf",1,1219,1219,88,0,89635,88058,1577,4377,1054,1,88,232,122,"",""
"dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,81,0,87847,86547,1300,4287,1022,1,3,1,2,"",""
"dreamcast/basic/breaking/breaking.elf",1,1214,1214,81,0,88668,87368,1300,4329,1031,1,41,155,40,"",""
"dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,82,0,87951,86643,1308,4297,1023,1,47,156,44,"",""
"dreamcast/basic/exec/exec.elf",1,1208,1208,81,0,87835,86535,1300,4288,1020,1,92,226,109,"",""
"dreamcast/basic/exec/sub.elf",1,1207,1207,81,0,87787,86487,1300,4281,1019,1,1,0,1,"",""
"dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,85,0,88111,86733,1378,4300,1031,1,59,268,61,"",""
"dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,81,0,88034,86734,1300,4304,1038,1,15,7,28,"",""
"dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,81,0,87952,86652,1300,4300,1021,1,27,86,31,"",""
"dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,81,0,88032,86732,1300,4304,1021,1,33,118,41,"",""
"dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,81,0,87870,86570,1300,4290,1021,1,52,254,45,"",""
"dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,81,0,87792,86492,1300,4282,1019,1,3,2,0,"",""
"dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,83,0,88733,87406,1327,4350,1039,1,48,263,69,"",""
"dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,82,0,88581,87272,1309,4346,1044,1,49,193,55,"",""
"dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,82,0,88073,86766,1307,4310,1038,1,34,162,44,"",""
"dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,81,0,88248,86948,1300,4357,1074,1,43,124,92,"",""
"dreamcast/basic/threading/once/once_test.elf",1,1215,1215,82,0,88317,87016,1301,4331,1027,1,56,196,52,"",""
"dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,81,0,88128,86828,1300,4339,1049,1,52,129,71,"",""
"dreamcast/basic/threading/reentrant_mutex/reentrant_mutex.elf",1,1214,1214,85,0,88369,87054,1315,4331,1035,1,43,133,43,"",""
"dreamcast/basic/threading/rwsem/rwsem_test.elf",1,1223,1223,82,0,88898,87597,1301,4400,1068,1,54,130,76,"",""
"dreamcast/basic/threading/spinlock_test/spinlock_test.elf",1,1210,1210,81,0,88421,87121,1300,4318,1048,1,34,153,29,"",""
"dreamcast/basic/threading/tls/tls_test.elf",1,1220,1220,83,0,88718,87414,1304,4371,1044,1,82,280,95,"",""
"dreamcast/basic/watchdog/watchdog.elf",1,1213,1213,82,0,88060,86757,1303,4305,1033,1,61,199,62,"",""
"dreamcast/cdrom/stream/cd-stream-test.elf",1,1210,1210,81,0,88196,86896,1300,4333,1052,1,43,122,80,"",""
