target,references,clustered_references,instructions,calls,stage
0x8C0F4670,167,167,0,0,candidate
0x8C0F3B18,86,85,0,0,candidate
0x8C0F560C,74,74,0,0,candidate
0x8C0AFE08,43,43,0,0,candidate
0x8C05F470,47,33,44,0,proven
0x8C092F38,35,28,52,3,proven
0x8C03346E,29,26,122,1,proven
0x8C058FE6,26,26,19,1,proven
0x8C092ED0,31,24,41,2,proven
0x8C033578,26,24,128,10,proven
0x8C073E10,25,24,23,0,proven
0x8C06E700,23,23,14,0,proven
0x8C08B490,26,22,43,0,proven
0x8C034320,25,22,60,0,proven
0x8C138810,22,22,0,0,candidate
0x8C08A7C0,22,20,16,0,proven
0x8C08A7E4,22,20,0,0,candidate
0x8C0343B8,23,19,100,2,proven
0x8C097434,20,19,0,0,candidate
0x8C0B389C,19,19,0,0,candidate
0x8C076DC4,29,18,11,1,proven
0x8C08A798,39,17,14,0,proven
0x8C0345EC,25,17,248,5,proven
0x8C15F818,19,17,9,0,proven
0x8C0B36FC,17,17,0,0,candidate
0x8C10D9E0,17,17,0,0,candidate
0x8C138890,17,17,0,0,candidate
0x8C03650C,16,16,215,11,proven
0x8C110374,16,16,0,0,candidate
0x8C13C358,16,16,0,0,candidate
0x8C022794,18,15,6,0,proven
0x8C15F82A,18,15,7,1,proven
0x8C16A484,18,15,0,0,candidate
0x8C0227A0,17,15,81,4,proven
0x8C0800DC,16,15,0,0,candidate
0x8C029574,15,15,76,7,proven
0x8C04B180,15,15,57,0,proven
0x8C1473DC,15,15,0,0,candidate
0x8C035A5E,18,14,105,1,proven
0x8C0228CC,17,14,18,1,proven
0x8C0228F0,17,14,346,27,proven
0x8C07FFBC,17,14,26,0,proven
0x8C035A20,14,14,31,1,proven
0x8C0A2D08,14,14,0,0,candidate
0x8C1473E0,14,14,0,0,candidate
0x8C0339FC,18,13,67,3,proven
0x8C0339C0,16,13,3,0,candidate
0x8C073C00,13,13,30,1,proven
0x8C10D9BC,13,13,0,0,candidate
0x8C07FD10,19,12,87,0,proven
0x8C092732,16,12,7,1,proven
0x8C0C3670,13,12,0,0,candidate
0x8C033E38,12,12,133,3,proven
0x8C034928,12,12,534,16,proven
0x8C0B387C,12,12,0,0,candidate
0x8C147740,23,11,0,0,candidate
0x8C034804,12,11,361,7,proven
0x8C10EF34,12,11,0,0,candidate
0x8C09DA20,11,11,0,0,candidate
0x8C1473E4,11,11,0,0,candidate
0x8C1473E8,11,11,0,0,candidate
0x8C0199D6,14,10,71,0,proven
0x8C05F6F8,10,10,3,0,candidate
0x8C0C08C4,10,10,0,0,candidate
0x8C07FBA0,16,9,79,0,proven
0x8C14BA44,15,9,6,0,proven
0x8C1737EC,15,9,0,0,candidate
0x8C156DA0,12,9,93,5,proven
0x8C171714,11,9,0,0,candidate
0x8C08FAA8,10,9,7,0,proven
0x8C03457C,9,9,20,1,proven
0x8C05F434,9,9,3,0,candidate
0x8C069E54,9,9,7,1,proven
0x8C072F60,9,9,0,0,candidate
0x8C08A878,9,9,107,0,proven
0x8C147500,9,9,0,0,candidate
0x8C078890,13,8,3,0,candidate
0x8C03332C,12,8,74,2,proven
0x8C076C90,11,8,11,1,proven
0x8C0B6010,11,8,0,0,candidate
0x8C15FAF2,10,8,3,1,candidate
0x8C05891E,8,8,32,4,proven
0x8C05B586,8,8,8,2,proven
0x8C11833C,8,8,0,0,candidate
0x8C12A44C,8,8,0,0,candidate
0x8C12A460,8,8,0,0,candidate
0x8C13AC90,8,8,0,0,candidate
0x8C156D04,32,7,5,0,proven
0x8C0A2D8C,19,7,0,0,candidate
0x8C173DEC,15,7,0,0,candidate
0x8C08F204,12,7,71,2,proven
0x8C08F9C4,12,7,19,0,proven
0x8C11CE70,11,7,0,0,candidate
0x8C09741C,8,7,0,0,candidate
0x8C147510,8,7,0,0,candidate
0x8C14CA9A,8,7,38,5,proven
0x8C156E82,8,7,18,2,proven
0x8C173DE0,8,7,0,0,candidate
0x8C026BD6,7,7,9,1,proven
0x8C03E806,7,7,10,1,proven
0x8C046FDE,7,7,78,0,proven
0x8C04E92C,7,7,22,1,proven
0x8C061BAE,7,7,9,0,proven
0x8C070A10,7,7,70,0,proven
0x8C072F20,7,7,0,0,candidate
0x8C072FF0,7,7,4,1,proven
0x8C0800EC,7,7,31,0,proven
0x8C10D9F8,7,7,0,0,candidate
0x8C11039C,7,7,0,0,candidate
0x8C11D048,7,7,0,0,candidate
0x8C12A93A,7,7,0,0,candidate
0x8C136D80,7,7,0,0,candidate
0x8C15F846,7,7,3,1,candidate
0x8C16AD54,7,7,12,0,proven
0x8C07C8BE,21,6,51,2,proven
0x8C090F84,11,6,50,2,proven
0x8C147340,8,6,0,0,candidate
0x8C040BEC,7,6,90,1,proven
0x8C02877A,6,6,14,0,proven
0x8C05F4C8,6,6,235,11,proven
0x8C06017E,6,6,29,0,proven
0x8C06753C,6,6,173,23,proven
0x8C072BD0,6,6,18,0,proven
0x8C073E90,6,6,14,0,proven
0x8C075D30,6,6,3,1,candidate
0x8C075D50,6,6,4,1,proven
0x8C0773E8,6,6,24,2,proven
0x8C0800C8,6,6,8,1,proven
0x8C0C0264,6,6,0,0,candidate
0x8C0C0274,6,6,0,0,candidate
0x8C0C08CC,6,6,0,0,candidate
0x8C10D9C8,6,6,0,0,candidate
0x8C10E5D0,6,6,0,0,candidate
0x8C11037C,6,6,0,0,candidate
0x8C1103AC,6,6,0,0,candidate
0x8C11CE60,6,6,0,0,candidate
0x8C13ADD8,6,6,0,0,candidate
0x8C13B004,6,6,0,0,candidate
0x8C16AD6C,6,6,11,0,proven
0x8C16BAB0,6,6,31,2,proven
0x8C08F87C,10,5,24,1,proven
0x8C03425E,7,5,97,1,proven
0x8C075D60,7,5,4,1,proven
0x8C128DB4,7,5,0,0,candidate
0x8C071920,6,5,3,0,candidate
0x8C07215C,6,5,25,0,proven
0x8C10E68C,6,5,0,0,candidate
0x8C1506C0,6,5,21,0,proven
0x8C1506EA,6,5,15,0,proven
0x8C03F164,5,5,11,1,proven
0x8C041298,5,5,220,21,proven
0x8C0584DA,5,5,4,0,proven
0x8C0584E2,5,5,4,0,proven
0x8C058688,5,5,14,0,proven
0x8C05F98C,5,5,18,4,proven
0x8C06823E,5,5,99,13,proven
0x8C06A820,5,5,24,1,proven
0x8C070F90,5,5,0,0,candidate
0x8C0724F0,5,5,20,0,proven
0x8C072FE0,5,5,5,1,proven
0x8C073AB0,5,5,14,0,proven
0x8C074F90,5,5,26,6,proven
0x8C075740,5,5,186,3,proven
0x8C07E42C,5,5,68,0,proven
0x8C08F9F6,5,5,20,0,proven
0x8C0910D0,5,5,0,0,candidate
0x8C0974F0,5,5,0,0,candidate
0x8C09C8F4,5,5,0,0,candidate
0x8C0AFF84,5,5,0,0,candidate
0x8C0AFFA4,5,5,0,0,candidate
0x8C0AFFC8,5,5,0,0,candidate
0x8C0AFFE4,5,5,0,0,candidate
0x8C0B0008,5,5,0,0,candidate
0x8C0B370C,5,5,0,0,candidate
0x8C0B3874,5,5,0,0,candidate
0x8C0C08C8,5,5,0,0,candidate
0x8C0C08D0,5,5,0,0,candidate
0x8C0C08D8,5,5,0,0,candidate
0x8C0C08E0,5,5,0,0,candidate
0x8C0C08E8,5,5,0,0,candidate
0x8C10DA04,5,5,0,0,candidate
0x8C123E50,5,5,0,0,candidate
0x8C12FDB4,5,5,0,0,candidate
0x8C13B16C,5,5,0,0,candidate
0x8C13B174,5,5,0,0,candidate
0x8C13B31C,5,5,0,0,candidate
0x8C147388,5,5,0,0,candidate
0x8C150708,5,5,10,0,proven
0x8C155580,5,5,0,0,candidate
0x8C1713FC,5,5,0,0,candidate
0x8C089C6C,13,4,0,0,candidate
0x8C155A9E,10,4,0,0,candidate
0x8C08F824,8,4,0,0,candidate
0x8C0BF4EC,7,4,0,0,candidate
0x8C03F9D0,6,4,0,0,candidate
0x8C076250,6,4,0,0,candidate
0x8C0B38AC,6,4,0,0,candidate
0x8C12B728,6,4,0,0,candidate
0x8C131610,6,4,0,0,candidate
0x8C147744,6,4,0,0,candidate
0x8C155AAE,6,4,0,0,candidate
0x8C1740A4,6,4,0,0,candidate
0x8C01F368,5,4,0,0,candidate
0x8C067718,5,4,0,0,candidate
0x8C070890,5,4,0,0,candidate
0x8C075700,5,4,0,0,candidate
0x8C090E4C,5,4,0,0,candidate
0x8C091AE0,5,4,0,0,candidate
0x8C0B3034,5,4,0,0,candidate
0x8C11D0BC,5,4,0,0,candidate
0x8C149B2E,5,4,0,0,candidate
0x8C173D68,5,4,0,0,candidate
0x8C01C568,4,4,0,0,candidate
0x8C01F5FC,4,4,0,0,candidate
0x8C022D9C,4,4,0,0,candidate
0x8C022DE2,4,4,0,0,candidate
0x8C02DD86,4,4,0,0,candidate
0x8C034E28,4,4,0,0,candidate
0x8C03E358,4,4,0,0,candidate
0x8C03E792,4,4,0,0,candidate
0x8C0585CA,4,4,0,0,candidate
0x8C059074,4,4,0,0,candidate
0x8C05BEF8,4,4,0,0,candidate
0x8C05C0F2,4,4,0,0,candidate
0x8C06F010,4,4,0,0,candidate
0x8C06F0D0,4,4,0,0,candidate
0x8C0721F0,4,4,0,0,candidate
0x8C077428,4,4,0,0,candidate
0x8C07E4B4,4,4,0,0,candidate
0x8C08EEE0,4,4,0,0,candidate
0x8C098700,4,4,0,0,candidate
0x8C0993AC,4,4,0,0,candidate
0x8C0B3824,4,4,0,0,candidate
0x8C0B72F0,4,4,0,0,candidate
0x8C0C3690,4,4,0,0,candidate
0x8C11CE54,4,4,0,0,candidate
0x8C11CE58,4,4,0,0,candidate
0x8C11CE5C,4,4,0,0,candidate
0x8C11D044,4,4,0,0,candidate
0x8C125A4C,4,4,0,0,candidate
0x8C12724C,4,4,0,0,candidate
0x8C128D28,4,4,0,0,candidate
0x8C12A8F4,4,4,0,0,candidate
0x8C12EC08,4,4,0,0,candidate
0x8C136D90,4,4,0,0,candidate
0x8C1386A8,4,4,0,0,candidate
0x8C13FD34,4,4,0,0,candidate
0x8C140F94,4,4,0,0,candidate
0x8C141024,4,4,0,0,candidate
0x8C141084,4,4,0,0,candidate
0x8C141F14,4,4,0,0,candidate
0x8C1423C4,4,4,0,0,candidate
0x8C142544,4,4,0,0,candidate
0x8C142C64,4,4,0,0,candidate
0x8C1473C8,4,4,0,0,candidate
0x8C1473CC,4,4,0,0,candidate
0x8C1473D0,4,4,0,0,candidate
0x8C1473D4,4,4,0,0,candidate
0x8C1473D8,4,4,0,0,candidate
0x8C15FEAA,4,4,0,0,candidate
0x8C161874,4,4,0,0,candidate
0x8C16BA68,4,4,0,0,candidate
0x8C16BA80,4,4,0,0,candidate
0x8C170EB0,4,4,0,0,candidate
0x8C1718DC,4,4,0,0,candidate
0x8C171A6C,4,4,0,0,candidate
0x8C173844,4,4,0,0,candidate
0x8C173DD8,4,4,0,0,candidate
0x8C1743EC,17,3,0,0,candidate
0x8C070B90,11,3,0,0,candidate
0x8C08C864,10,3,0,0,candidate
0x8C15D1A2,9,3,0,0,candidate
